Title,Price,Property Size,Property Type,Property Status,Bedrooms
CHALALA,"ZK10,000.00",50X30 m²,House,For Rent,3
MEAN WOOD NDEKE PHASE 3,"ZK900,000.00",28x28 sqft,House,For Sale,3
SHANTUMBU,"ZK120,000.00",20x30 sqft,Plot,For Sale,
CHIFWEMA,"ZK350,000.00",9 Acres sqft,Farmland,For Sale,
MIKANGO (NCHUTE AREA),"ZK550,000.00",5 Acre sqft,Farmland,For Sale,
FOXDALE COMMERCIAL PROPERTY,"ZMW 5,200,000.",,Commercial,For Sale,
MATERO,"ZK400,000.00",,House,For Sale,3
CHAMBA VALLEY,"ZK18,000.00",,Residential,For Rent,4
MEANWOOD CHAMBA VALLEY,"ZK450,000.00",18x28 sqft,Plot,For Sale,
SILVEREST,"ZK1,850,000.00",,House,For Sale,
SALAMA PARK,"ZK1,600,000.00",,House,For Sale,2
6 MILES,"ZK390,000.00",,House,For Sale,3
SILVEREST GARDENS ESTATE,"ZK1,400,000.00",,House,For Sale,3
MAKENI MAIN,"ZK1,500,000.00",,Farmland,For Sale,
KINGSLAND,"$2,500",,Apartment,For Rent,5
WATERFALLS (MIKA CONVENTION CENTRE AREA),"ZK10,000.00",,House,For Rent,2
CHISAMBA FARMS,"ZK75,000.00",5 acre sqft,Farmland,For Sale,
LIBALA SOUTH,"ZK1,250,000.00",,House,For Sale,4
LILAYI (YORK FARM),"ZK360,000.00",20x30 sqft,Plot,For Sale,
10 MILES,"ZK420,000.00",40X30 sqft,House,For Sale,4
9 MILES,"ZK2,300,000.00",40x30 sqft,House,For Sale,5
MAPEPE (MPHANDE),"ZK650,000.00",29 Acres sqft,Farmland,For Sale,
10 MILES,"ZK450,000.00",2 Acres sqft,Farmland,For Sale,
KANAKANTAPA,"ZK350,000.00",15 acres sqft,Farmland,For Sale,
MAKENI VILLA,"ZK1,300,000.00",25x30 sqft,Multi Family Home,For Sale,
MAKENI BETHEL,"ZK220,000.00",20x30 sqft,Plot,For Sale,
CHINYUNYU,"ZK580,000.00",,Farmland,For Sale,
SILVEREST,"ZK1,800,000.00",20x30 sqft,House,For Sale,3
SILVEREST,"ZK1,850,000.00",,House,For Sale,
MAKENI WEST,"ZK2,000,000.00",1-acre sqft,House,For Sale,4
10 MILES,"ZK685,000.00",,House,For Sale,3
CHELSTONE,"ZK4,000,000.00",45x30 sqft,House,For Sale,
SHANTUMBU,"ZK610,000.00",110x34 sqft,House,For Sale,2
LUSAKA WEST,"ZK845,000.00",5 Acre sqft,Farmland,For Sale,
AIRPORT FARMS (AIRPORT VILLA),"ZK850,000.00",2.5 acres sqft,Farmland,For Sale,
MWEMBESHI,"ZK785,000.00",9.3 acres sqft,Farmland,For Sale,
CHONGWE,"ZK210,000.00",7.5 Acres sqft,Farmland,For Sale,
CHILANGA,"ZK195,000.00",20x30 sqft,Plot,For Sale,
LILANDA,"ZK1,600,000.00",30x40 sqft,Plot,For Sale,
SILVEREST GARDENS ESTATE,"ZK1,870,000.00",,House,For Sale,3
CHONGWE (CHAMULIMBA),"ZK75,000.00",5 acres sqft,Farmland,For Sale,
CHIAWA NEAR LOWER ZAMBEZI,"ZK350,000.00",50 acres sqft,Farmland,For Sale,
MUNGULE,"ZK150,000.00",5 acres sqft,Farmland,For Sale,
CHIFWEMA,"ZK105,000.00",20m x 25m sqft,Plot,For Sale,
MAPEPE (MPHANDE),"ZK650,000.00",29 Acres sqft,Farmland,For Sale,
21 MILES,"ZK210,000.00",1-acre sqft,Farmland,For Sale,
MIKANGO,"ZK650,000.00",5 Acres sqft,Farmland,For Sale,
LUSAKA WEST (ZNS SOPELO),"ZK600,000.00",,Farmland,For Sale,
KAMWALA SOUTH,"ZK1,300,000.00",20 x 30 sqft,House,For Sale,
10 MILES,"ZK175,000.00",40x30 sqft,Plot,For Sale,
WOODLANDS,"ZK6,500,000.00",60x50 m²,House,For Sale,
CHAMINUKA,"ZK800,000.00",,Farmland,For Sale,
LUSAKA WEST (LAUGHING WATERS/ SEKELELA AREA),"ZK3,350,000.00",7 Acre sqft,Farmland,For Sale,3
SHANTUMBU,"ZK120,000.00",20x30 sqft,Plot,For Sale,
MAKENI MAIN,"ZK1,500,000.00",20x40 sqft,House,For Sale,
MEANWOOD MITUMBI,"ZK1,600,000.00",30×20 sqft,House,For Sale,
MIMOSA,"PRICE: ZMW2,100,000",,House,For Sale,
IBEX HILL,"ZK1,950,000.00",,House,For Sale,
MEANWOOD IBEX,"ZK10,000.00",,House,For Rent,3
MAKENI KONGA,"ZK750,000.00",20x30 sqft,House,For Sale,3
MUNGULE,"ZK160,000.00",6 Acres sqft,Farmland,For Sale,
CHIFWEMA,"ZK350,000.00",9 Acres sqft,Farmland,For Sale,
MUNGULE (10 Miles),"ZK350,000.00",27x40 sqft,House,For Sale,3
NEW KASAMA,"ZK680,000.00",30x25 m²,Plot,For Sale,
WATERFALLS,"ZK1,450,000.00",20x30 m²,House,For Sale,2
CHIFWEMA,"ZK105,000.00",,Plot,For Sale,
IBEX MAIN,"ZK1,750,000.00",,House,For Sale,2
CHILANGA,"ZK1,200,000.00",63x40 sqft,House,For Sale,4
21 MILES,"ZK210,000.00",,Farmland,For Sale,
CHIFWEMA ESTATE,"ZK4,300,000.00",5-acres sqft,Farmland,For Sale,3
MUNGULE,"ZK280,000.00",20 Acre sqft,Farmland,For Sale,
MAKENI ORIENTAL,"ZK1,550,000.00",,Plot,For Sale,
MUMBWA,"ZK200,000.00",,Farmland,For Sale,
KABWE,"ZK250,000.00",,Plot,For Sale,
6 MILES,"ZK750,000.00",35x35 sqft,House,For Sale,5
KANAKANTAPA,"ZK650,000.00",6 Acres sqft,Farmland,For Sale,
PHI,"ZK850,000.00",15x20 sqft,House,For Sale,
MAKENI BONAVENTURE,"4,500,000 ZK5,500,000.00",60x115 sqft,Commercial,For Sale,
COMMERCIAL PROPERTY (CHILENJE),"ZK8,500,000.00",,Commercial,For Sale,
MIKANGO,"ZK650,000.00",40 ACRES sqft,Farmland,For Sale,
MAKENI WEST,"ZK1,250,000.00",25x50 sqft,House,For Sale,3
MAKENI KONGA,"ZK1,800,000.00",,House,For Sale,3
CHONGWE,"ZK980,000.00",80x50 sqft,House,For Sale,4
MIKANGO,"ZK265,000.00",6 acres sqft,Farmland,For Sale,
17 MILES,"ZK135,000.00",,Farmland,For Sale,
MEAN WOOD NDEKE PHASE 3,"ZK900,000.00",28x28 sqft,House,For Sale,3
KABANGWE,"ZK1,450,000.00",,House,For Sale,
WOODLANDS,"ZK6,500,000.00",60x50 m²,House,For Sale,
WOODLANDS MAIN,"$3,500.00",,Residential,For Rent,4
MAKENI WEST,"ZK300,000.00",24x33 sqft,Plot,For Sale,
